RADIOBASE,FECHA,REGION,TRAFICO
RB093807C102,2019-08-23,9,42.83
RB093807C103,2019-08-23,9,20.44
RB093808C101,2019-08-23,9,25.85
RB093808C102,2019-08-23,9,32.9
RB093808C103,2019-08-23,9,29.76
RB093810C101,2019-08-23,9,92.91
RB093813C101,2019-08-23,9,28.61
RB093818C001,2019-08-23,9,101.6
RB093818C002,2019-08-23,9,100.39
RB093818C003,2019-08-23,9,74.41
RB093819C001,2019-08-23,9,103.07
RB093819C002,2019-08-23,9,60.17
RB093820C001,2019-08-23,9,96.8
RB093820C002,2019-08-23,9,71.27
RB093820C003,2019-08-23,9,82.77
RB093821C001,2019-08-23,9,104.19
RB093825C001,2019-08-23,9,41.21
RB093827C001,2019-08-23,9,43.19
RB093827C004,2019-08-23,9,52.3
RB093827C101,2019-08-23,9,43.19
RB093827C104,2019-08-23,9,52.3
RB093827C121,2019-08-23,9,28.98
RB093827C124,2019-08-23,9,31.62
RB093851C101,2019-08-23,9,127.01
RB093852C001,2019-08-23,9,23.67
RB093853C101,2019-08-23,9,23.67
RB093853C102,2019-08-23,9,46.54
RB093853C103,2019-08-23,9,11.6
RB093855C001,2019-08-23,9,1.37
RB093855C002,2019-08-23,9,3.07
RB093855C003,2019-08-23,9,4.18
RB093895C001,2019-08-23,9,111.11
RB093895C002,2019-08-23,9,42.24
RB093896C001,2019-08-23,9,29.48
RB093896C002,2019-08-23,9,7.51
RB093897C001,2019-08-23,9,32.11
RB093897C002,2019-08-23,9,22.97
RB093897C003,2019-08-23,9,36.92
RB093898C001,2019-08-23,9,32.41
RB093898C002,2019-08-23,9,19.56
RB093898C003,2019-08-23,9,52.04
RB093900C001,2019-08-23,9,9.79
RB093900C002,2019-08-23,9,10.89
RB093906C001,2019-08-23,9,19.39
RB093906C002,2019-08-23,9,22.16
RB093906C003,2019-08-23,9,32.76
RB093907C001,2019-08-23,9,31.75
RB093907C002,2019-08-23,9,41.13
RB093907C003,2019-08-23,9,19.19
RB093909C001,2019-08-23,9,17.96
RB093909C002,2019-08-23,9,45.67
RB093909C003,2019-08-23,9,161.44
RB093910C001,2019-08-23,9,12.38
RB093931C001,2019-08-23,9,102.53
RB093938C101,2019-08-23,9,90.59
RB093938C102,2019-08-23,9,121.63
RB093938C103,2019-08-23,9,24.85
RB093972C001,2019-08-23,9,58.63
RB093972C002,2019-08-23,9,74.39
RB093972C003,2019-08-23,9,50.94
RB094022C001,2019-08-23,9,36.77
RB094022C002,2019-08-23,9,64.36
RB094022C003,2019-08-23,9,48.5
RB094022C101,2019-08-23,9,36.77
RB094022C102,2019-08-23,9,64.36
RB094022C103,2019-08-23,9,48.5
RB094030C101,2019-08-23,9,157.47
RB094030C102,2019-08-23,9,61.99
RB094285C001,2019-08-23,9,77.72
RB094285C002,2019-08-23,9,119.57
RB094285C003,2019-08-23,9,221.26
RB094286C001,2019-08-23,9,102.6
RB094286C002,2019-08-23,9,110.99
RB094286C003,2019-08-23,9,127.6
RB094287C001,2019-08-23,9,169.38
RB094287C002,2019-08-23,9,102.66
RB094287C003,2019-08-23,9,40.54
RB094288C001,2019-08-23,9,29.18
RB094288C002,2019-08-23,9,47.68
RB094288C003,2019-08-23,9,42.63
RB094289C101,2019-08-23,9,6.88
RB094289C102,2019-08-23,9,46.03
RB094289C103,2019-08-23,9,8.5
RB094290C101,2019-08-23,9,22.28
RB094290C102,2019-08-23,9,145.8
RB094290C103,2019-08-23,9,52.12
RB094291C101,2019-08-23,9,77.63
RB094291C102,2019-08-23,9,22.99
RB094291C103,2019-08-23,9,16.74
RB094292C001,2019-08-23,9,79.83
RB094292C002,2019-08-23,9,23.06
RB094292C003,2019-08-23,9,8.74
RB094294C101,2019-08-23,9,80.51
RB094294C102,2019-08-23,9,83.69
RB094294C103,2019-08-23,9,4.58
RB094295C101,2019-08-23,9,11.61
RB094295C102,2019-08-23,9,49.67
RB094295C103,2019-08-23,9,21.64
RB094296C001,2019-08-23,9,13.92
RB094296C002,2019-08-23,9,55.44
RB094296C003,2019-08-23,9,119.9
RB094297C001,2019-08-23,9,145.33
RB094297C002,2019-08-23,9,94.78
RB094297C003,2019-08-23,9,50.46
RB094298C001,2019-08-23,9,58.93
RB094298C002,2019-08-23,9,53.03
RB094298C003,2019-08-23,9,42.42
RB094310C001,2019-08-23,9,40.47
RB094310C002,2019-08-23,9,117.08
RB094310C003,2019-08-23,9,94.15
RB094311C001,2019-08-23,9,39.22
RB094311C002,2019-08-23,9,16.48
RB094311C003,2019-08-23,9,14.95
RB094312C001,2019-08-23,9,41.26
RB094312C002,2019-08-23,9,17.97
RB094312C003,2019-08-23,9,14.26
RB094314C101,2019-08-23,9,51.96
RB094314C102,2019-08-23,9,5.51
RB094314C103,2019-08-23,9,15
RB094315C101,2019-08-23,9,6.57
RB094315C102,2019-08-23,9,15.22
RB094315C103,2019-08-23,9,24.41
RB094347C101,2019-08-23,9,17.55
